scientificName,animal,Movement,migratory,migratory.nomadic,populationTrend,decline,EOO,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere5,Hemisphere,Flyway
Accipiter henstii,Accipiter_henstii,Not a Migrant,0,0,Decreasing,1,673000,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,3,2,2
Accipiter hiogaster,Accipiter_novaehollandiae,Not a Migrant,0,0,Stable,0,3720000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter imitator,Accipiter_imitator,Not a Migrant,0,0,Decreasing,1,45100,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter luteoschistaceus,Accipiter_luteoschistaceus,Not a Migrant,0,0,Decreasing,1,70700,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Accipiter madagascariensis,Accipiter_madagascariensis,Not a Migrant,0,0,Decreasing,1,689000,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,3,2,2
Accipiter melanochlamys,Accipiter_melanochlamys,Not a Migrant,0,0,Stable,0,489000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Accipiter melanoleucus,Accipiter_melanoleucus,Not a Migrant,0,0,Decreasing,1,22600000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,3,2,2
Accipiter meyerianus,Accipiter_meyerianus,Not a Migrant,0,0,Decreasing,1,2490000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter minullus,Accipiter_minullus,Not a Migrant,0,0,Stable,0,12000000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,3,2,2
Accipiter nanus,Accipiter_nanus,Not a Migrant,0,0,Stable,0,254000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter nisus,Accipiter_nisus,Full Migrant,1,1,Stable,0,54400000,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,5,3,7
Accipiter novaehollandiae,Accipiter_novaehollandiae,Not a Migrant,0,0,Decreasing,1,6540000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter ovampensis,Accipiter_ovampensis,Nomadic,0,1,Increasing,0,18200000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,3,2,2
Accipiter poliocephalus,Accipiter_poliocephalus,Not a Migrant,0,0,Decreasing,1,1520000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Accipiter poliogaster,Accipiter_poliogaster,Not a Migrant,0,0,Decreasing,1,13400000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Accipiter princeps,Accipiter_princeps,Not a Migrant,0,0,Decreasing,1,47900,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter rhodogaster,Accipiter_rhodogaster,Not a Migrant,0,0,Decreasing,1,524000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Accipiter soloensis,Accipiter_soloensis,Full Migrant,1,1,Decreasing,1,4070000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,4,3,4
Accipiter striatus,Accipiter_striatus,Full Migrant,1,1,Decreasing,1,54100000,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,5,3,5
Accipiter superciliosus,Accipiter_superciliosus,Not a Migrant,0,0,Decreasing,1,13800000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Accipiter sylvestris,Accipiter_novaehollandiae,Not a Migrant,0,0,Decreasing,1,78000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter tachiro,Accipiter_tachiro,Not a Migrant,0,0,Decreasing,1,8940000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,3,2,2
Accipiter toussenelii,Accipiter_toussenelii,Not a Migrant,0,0,Decreasing,1,11200000,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,3,2,2
Accipiter trinotatus,Accipiter_trinotatus,Not a Migrant,0,0,Decreasing,1,419000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Accipiter trivirgatus,Accipiter_trivirgatus,Not a Migrant,0,0,Decreasing,1,17200000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,5,3,4
Accipiter virgatus,Accipiter_virgatus,Altitudinal Migrant,0,1,Decreasing,1,21200000,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,5,3,4
Aceros nipalensis,Aceros_nipalensis,Not a Migrant,0,0,Decreasing,1,1580000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,5,3,4
Achaetops pycnopygius,Achaetops_pycnopygius,Not a Migrant,0,0,Stable,0,639000,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,2,2
Acridotheres cinereus,Acridotheres_cinereus,Not a Migrant,0,0,Decreasing,1,219000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,2,4
Acridotheres cristatellus,Acridotheres_cristatellus,Not a Migrant,0,0,Stable,0,4410000,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,5,3,4
Acridotheres fuscus,Acridotheres_fuscus,Not a Migrant,0,0,Decreasing,1,8230000,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,5,3,4
Acridotheres ginginianus,Acridotheres_ginginianus,Not a Migrant,0,0,Increasing,0,3180000,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,5,3,4
Acridotheres grandis,Acridotheres_grandis,Not a Migrant,0,0,Stable,0,3430000,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,5,3,4
Acridotheres javanicus,Acridotheres_grandis,Not a Migrant,0,0,Decreasing,1,188000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,3,2,4
Acridotheres leucocephalus,Sturnus_burmannicus,Not a Migrant,0,0,Increasing,0,773000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,3,2,4
Acridotheres melanopterus,Sturnus_melanopterus,Not a Migrant,0,0,Decreasing,1,164000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acridotheres tertius,Sturnus_melanopterus,Not a Migrant,0,0,Decreasing,1,NA,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acridotheres tricolor,Sturnus_melanopterus,Not a Migrant,0,0,Decreasing,1,NA,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,3,2,4
Acridotheres tristis,Acridotheres_tristis,Not a Migrant,0,0,Decreasing,1,18000000,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,5,3,4
Acritillas indica,Iole_indica,Not a Migrant,0,0,Decreasing,1,759000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,3,2,4
Acrobatornis fonsecai,Acrobatornis_fonsecai,Not a Migrant,0,0,Decreasing,1,13400,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,2,1
Acrocephalus agricola,Acrocephalus_agricola,Full Migrant,1,1,Stable,0,9650000,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,2,1,6
Acrocephalus arundinaceus,Acrocephalus_arundinaceus,Full Migrant,1,1,Decreasing,1,24500000,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,4,3,6
Acrocephalus australis,Acrocephalus_australis,Full Migrant,1,1,Stable,0,16460000,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3,2,4
Acrocephalus bistrigiceps,Acrocephalus_bistrigiceps,Full Migrant,1,1,Stable,0,6510000,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,4,3,4
Acrocephalus concinens,Acrocephalus_concinens,Full Migrant,1,1,Stable,0,6820000,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,4,3,4
Acrocephalus dumetorum,Acrocephalus_dumetorum,Full Migrant,1,1,Increasing,0,10600000,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2,1,6
Acrocephalus gracilirostris,Acrocephalus_gracilirostris,Not a Migrant,0,0,Stable,0,15700000,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,3,2,2
Acrocephalus griseldis,Acrocephalus_griseldis,Full Migrant,1,1,Stable,0,682000,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,4,3,6
Acrocephalus hiwae,Acrocephalus_luscinius,Not a Migrant,0,0,Decreasing,1,2550,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,3,2,4
Acrocephalus melanopogon,Acrocephalus_melanopogon,Full Migrant,1,1,Stable,0,13600000,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,5,3,6
Acrocephalus newtoni,Acrocephalus_newtoni,Not a Migrant,0,0,Stable,0,689000,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,3,2,2
Acrocephalus orientalis,Acrocephalus_arundinaceus,Full Migrant,1,1,Decreasing,1,8170000,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,4,3,4
Acrocephalus paludicola,Acrocephalus_paludicola,Full Migrant,1,1,Decreasing,1,580000,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,2
Acrocephalus rufescens,Acrocephalus_rufescens,Not a Migrant,0,0,Stable,0,12300000,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,3,2,2
Acrocephalus schoenobaenus,Acrocephalus_schoenobaenus,Full Migrant,1,1,Stable,0,20100000,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,2,1,6
Acrocephalus scirpaceus,Acrocephalus_scirpaceus,Full Migrant,1,1,Stable,0,64300000,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,5,3,6
Acrocephalus sorghophilus,Acrocephalus_sorghophilus,Full Migrant,1,1,Decreasing,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,NA,3,4
Acrocephalus stentoreus,Acrocephalus_stentoreus,Full Migrant,1,1,Stable,0,38000000,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,5,3,6
Acrocephalus syrinx,Acrocephalus_syrinx,Not a Migrant,0,0,Stable,0,294000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,3,2,4
Acrocephalus tangorum,Acrocephalus_tangorum,Full Migrant,1,1,Decreasing,1,757000,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,2,1,4
Acropternis orthonyx,Acropternis_orthonyx,Not a Migrant,0,0,Stable,0,551000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Acryllium vulturinum,Acryllium_vulturinum,Not a Migrant,0,0,Stable,0,1500000,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,3,2,2
Actenoides bougainvillei,Actenoides_bougainvillei,Not a Migrant,0,0,Decreasing,1,37000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actenoides capucinus,Actenoides_monachus,Not a Migrant,0,0,Decreasing,1,141000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actenoides concretus,Actenoides_concretus,Not a Migrant,0,0,Decreasing,1,3800000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actenoides excelsus,Actenoides_bougainvillei,Not a Migrant,0,0,Decreasing,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actenoides hombroni,Actenoides_hombroni,Not a Migrant,0,0,Decreasing,1,140000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actenoides lindsayi,Actenoides_lindsayi,Not a Migrant,0,0,Decreasing,1,314000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actenoides monachus,Actenoides_monachus,Not a Migrant,0,0,Decreasing,1,217000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actenoides princeps,Actenoides_princeps,Not a Migrant,0,0,Decreasing,1,280000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actenoides regalis,Actenoides_princeps,Not a Migrant,0,0,Decreasing,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Actinodura egertoni,Actinodura_egertoni,Not a Migrant,0,0,Decreasing,1,960000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,5,3,4
Actinodura radcliffei,Actinodura_ramsayi,Not a Migrant,0,0,Decreasing,1,656000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,5,3,4
Actinodura ramsayi,Actinodura_ramsayi,Not a Migrant,0,0,Decreasing,1,58400,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,3,2,4
Actinodura sodangorum,Actinodura_sodangorum,Not a Migrant,0,0,Stable,0,17400,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,3,2,4
Actitis hypoleucos,Actitis_hypoleucos,Full Migrant,1,1,Stable,0,47200000,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,3,7
Actitis macularius,Actitis_macularius,Full Migrant,1,1,Stable,0,23400000,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,2,1,5
Actophilornis africanus,Actophilornis_africanus,Nomadic,0,1,Stable,0,24400000,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,3,2,2
Actophilornis albinucha,Actophilornis_albinucha,Not a Migrant,0,0,Decreasing,1,415000,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,3,2,2
Adelomyia melanogenys,Adelomyia_melanogenys,Not a Migrant,0,0,Decreasing,1,4450000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Aechmophorus clarkii,Aechmophorus_clarkii,Full Migrant,1,1,Decreasing,1,6220000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3,1
Aechmophorus occidentalis,Aechmophorus_occidentalis,Full Migrant,1,1,Stable,0,8380000,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,5,3,1
Aegithalos annamensis,Aegithalos_concinnus,Not a Migrant,0,0,Stable,0,109000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,3,2,4
Aegithalos bonvaloti,Aegithalos_iouschistos,Altitudinal Migrant,0,1,Decreasing,1,728000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,5,3,4
Aegithalos caudatus,Aegithalos_caudatus,Not a Migrant,0,0,Stable,0,44600000,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,6
Aegithalos concinnus,Aegithalos_concinnus,Not a Migrant,0,0,Decreasing,1,4080000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,5,3,4
Aegithalos fuliginosus,Aegithalos_fuliginosus,Not a Migrant,0,0,Stable,0,531000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,4
Aegithalos glaucogularis,Aegithalos_caudatus,Not a Migrant,0,0,Stable,0,2950000,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,5,3,4
Aegithalos iouschistos,Aegithalos_iouschistos,Altitudinal Migrant,0,1,Stable,0,282000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,5,3,4
Aegithalos iredalei,Aegithalos_concinnus,Not a Migrant,0,0,Stable,0,925000,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,5,3,4
Aegithalos leucogenys,Aegithalos_leucogenys,Altitudinal Migrant,0,1,Decreasing,1,338000,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,5,3,4
Aegithalos niveogularis,Aegithalos_niveogularis,Not a Migrant,0,0,Decreasing,1,323000,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,5,3,4
Aegithina lafresnayei,Aegithina_lafresnayei,Not a Migrant,0,0,Decreasing,1,2710000,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aegithina viridissima,Aegithina_viridissima,Not a Migrant,0,0,Decreasing,1,3740000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aegolius acadicus,Aegolius_acadicus,Full Migrant,1,1,Increasing,0,18700000,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,5,3,5
Aegolius funereus,Aegolius_funereus,Nomadic,0,1,Stable,0,73800000,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,7
Aegolius harrisii,Aegolius_harrisii,Not a Migrant,0,0,Decreasing,1,12700000,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,3,2,1
Aegolius ridgwayi,Aegolius_ridgwayi,Not a Migrant,0,0,Decreasing,1,187000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,1
Aegotheles affinis,Aegotheles_bennettii,Not a Migrant,0,0,Decreasing,1,100,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aegotheles albertisi,Aegotheles_albertisi,Not a Migrant,0,0,Decreasing,1,631000,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,3,2,4
Aegotheles archboldi,Aegotheles_archboldi,Not a Migrant,0,0,Decreasing,1,83900,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aegotheles bennettii,Aegotheles_bennettii,Not a Migrant,0,0,Decreasing,1,661000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aegotheles crinifrons,Aegotheles_crinifrons,Not a Migrant,0,0,Decreasing,1,50500,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,3,2,4
Aegotheles cristatus,Aegotheles_cristatus,Not a Migrant,0,0,Stable,0,12100000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,3,2,4
Aegotheles insignis,Aegotheles_insignis,Not a Migrant,0,0,Decreasing,1,637000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aegotheles tatei,Aegotheles_tatei,Not a Migrant,0,0,Decreasing,1,53600,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aegotheles wallacii,Aegotheles_wallacii,Not a Migrant,0,0,Decreasing,1,595000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,4
Aegypius monachus,Aegypius_monachus,Full Migrant,1,1,Decreasing,1,22400000,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,5,3,6
